country,date_month_string,positive_per_country,neutral_per_country,negative_per_country,positive_rate_per_country,neutral_rate_per_country,negative_rate_per_country,date_month_number,positive_globally,neutral_globally,negative_globally,positive_rate_globally,neutral_rate_globally,negative_rate_globally
Afghanistan,2020-12,0,1,0,0,1,0,1,136,547,38,0.18862690707350901,0.7586685159500693,0.052704576976421634
Afghanistan,2021-02,0,3,0,0,1,0,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
Afghanistan,2021-03,3,1,0,0.75,0.25,0,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Afghanistan,2021-04,0,1,0,0,1,0,5,1631,8060,871,0.15442151107744745,0.7631130467714448,0.08246544215110775
Afghanistan,2021-05,0,2,0,0,1,0,6,948,5191,350,0.14609338881183542,0.7999691786099553,0.05393743257820928
Afghanistan,2021-06,0,2,0,0,1,0,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
Afghanistan,2021-09,1,1,0,0.5,0.5,0,10,775,3516,202,0.17249054084130871,0.7825506343200535,0.04495882483863788
Afghanistan,2021-11,0,1,0,0,1,0,12,642,2340,180,0.2030360531309298,0.7400379506641366,0.056925996204933584
Albania,2021-01,0,1,0,0,1,0,2,191,678,90,0.1991657977059437,0.7069864442127216,0.09384775808133472
Albania,2021-02,0,1,0,0,1,0,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
Albania,2021-03,1,13,0,0.07142857142857142,0.9285714285714286,0,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Albania,2021-04,1,5,0,0.16666666666666666,0.8333333333333334,0,5,1631,8060,871,0.15442151107744745,0.7631130467714448,0.08246544215110775
Albania,2021-05,0,1,0,0,1,0,6,948,5191,350,0.14609338881183542,0.7999691786099553,0.05393743257820928
Albania,2021-06,0,4,1,0,0.8,0.2,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
Albania,2021-08,0,1,0,0,1,0,9,1022,6651,474,0.12544494906100406,0.816374125444949,0.05818092549404689
Albania,2021-09,1,1,0,0.5,0.5,0,10,775,3516,202,0.17249054084130871,0.7825506343200535,0.04495882483863788
Algeria,2021-02,0,3,0,0,1,0,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
Algeria,2021-03,0,1,0,0,1,0,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Algeria,2021-04,0,1,0,0,1,0,5,1631,8060,871,0.15442151107744745,0.7631130467714448,0.08246544215110775
Algeria,2021-05,0,1,0,0,1,0,6,948,5191,350,0.14609338881183542,0.7999691786099553,0.05393743257820928
Algeria,2021-07,0,1,0,0,1,0,8,714,4576,221,0.12955906369080022,0.8303393213572854,0.040101614951914354
Algeria,2021-10,0,1,0,0,1,0,11,845,3591,213,0.18175951817595182,0.7724241772424177,0.04581630458163046
