country,date_month_string,monthly_vaccinations_per_country,monthly_vaccinations_per_million_per_country,date_month_number,monthly_vaccinations_globally
Afghanistan,2021-02,8202,204,3,170467452
Afghanistan,2021-03,85894,2154,4,340529467
Afghanistan,2021-04,219606,5511,5,533501731
Afghanistan,2021-05,285838,7171,6,792994644
Afghanistan,2021-06,242899,6097,7,1136984197
Afghanistan,2021-07,337196,8466,8,1060429251
Afghanistan,2021-08,591825,14854,9,1201442306
Afghanistan,2021-09,563255,14132,10,969014866
Afghanistan,2021-10,1064777,26738,11,805830936
Afghanistan,2021-11,512890,12880,12,582593278
Albania,2021-01,741,257,2,93138028
Albania,2021-02,9504,3305,3,170467452
Albania,2021-03,78590,27354,4,340529467
Albania,2021-04,339023,118004,5,533501731
Albania,2021-05,333048,115927,6,792994644
Albania,2021-06,180622,62871,7,1136984197
Albania,2021-07,228113,79398,8,1060429251
Albania,2021-08,267844,93230,9,1201442306
Albania,2021-09,279183,97175,10,969014866
Albania,2021-10,178646,62180,11,805830936
Albania,2021-11,114204,39752,12,582593278
Algeria,2021-01,1919,43,2,93138028
Algeria,2021-02,212612,4764,3,170467452
Algeria,2021-03,693439,15531,4,340529467
Algeria,2021-04,671070,15030,5,533501731
Algeria,2021-05,693439,15531,6,792994644
Algeria,2021-06,671070,15030,7,1136984197
Algeria,2021-07,693439,15531,8,1060429251
Algeria,2021-08,2569903,57594,9,1201442306
Algeria,2021-09,3923972,87950,10,969014866
Algeria,2021-10,1031025,23118,11,805830936
Algeria,2021-11,184546,4135,12,582593278
Andorra,2021-01,396,5118,2,93138028
Andorra,2021-02,1710,22108,3,170467452
Andorra,2021-03,8579,110908,4,340529467
Andorra,2021-04,17392,224837,5,533501731
Andorra,2021-05,6692,86512,6,792994644
Andorra,2021-06,32200,416266,7,1136984197
Andorra,2021-07,17752,229488,8,1060429251
Andorra,2021-08,10473,135388,9,1201442306
Andorra,2021-09,6488,83869,10,969014866
Andorra,2021-10,2268,29315,11,805830936
Angola,2021-03,123619,3643,4,340529467
Angola,2021-04,371211,10938,5,533501731
Angola,2021-05,385967,11373,6,792994644
Angola,2021-06,591825,17439,7,1136984197
Angola,2021-07,175073,5158,8,1060429251
Angola,2021-08,301415,8883,9,1201442306
Angola,2021-09,1280419,37733,10,969014866
Angola,2021-10,3069409,90455,11,805830936
Angola,2021-11,1753335,51669,12,582593278
Anguilla,2021-02,4265,281980,3,170467452
Anguilla,2021-03,1708,112922,4,340529467
Anguilla,2021-04,2627,173681,5,533501731
Anguilla,2021-05,6189,409187,6,792994644
Anguilla,2021-06,1619,107041,7,1136984197
Anguilla,2021-07,2158,142676,8,1060429251
Anguilla,2021-08,325,21487,9,1201442306
Anguilla,2021-09,168,11106,10,969014866
Anguilla,2021-10,69,4562,11,805830936
Anguilla,2021-11,239,15802,12,582593278
Antigua and Barbuda,2021-02,10740,108780,3,170467452
Antigua and Barbuda,2021-03,18580,188189,4,340529467
Antigua and Barbuda,2021-04,3568,36140,5,533501731
Antigua and Barbuda,2021-05,16565,167778,6,792994644
Antigua and Barbuda,2021-06,16985,172037,7,1136984197
Antigua and Barbuda,2021-07,4947,50109,8,1060429251
Antigua and Barbuda,2021-08,5234,53013,9,1201442306
Antigua and Barbuda,2021-09,18246,184814,10,969014866
Antigua and Barbuda,2021-10,13762,139392,11,805830936
Antigua and Barbuda,2021-11,7938,80401,12,582593278
Argentina,2020-12,31312,686,1,8698776
Argentina,2021-01,337978,7410,2,93138028
Argentina,2021-02,523874,11487,3,170467452
Argentina,2021-03,2760800,60537,4,340529467
Argentina,2021-04,3796176,83241,5,533501731
Argentina,2021-05,4306511,94428,6,792994644
Argentina,2021-06,8007917,175593,7,1136984197
Argentina,2021-07,10974459,240636,8,1060429251
Argentina,2021-08,10488864,229990,9,1201442306
Argentina,2021-09,9785210,214559,10,969014866
Argentina,2021-10,8216680,180167,11,805830936
Argentina,2021-11,5635261,123564,12,582593278
Armenia,2021-04,7830,2640,5,533501731
Armenia,2021-05,24064,8109,6,792994644
Armenia,2021-06,43821,14763,7,1136984197
Armenia,2021-07,85342,28756,8,1060429251
Armenia,2021-08,108731,36630,9,1201442306
Armenia,2021-09,146487,49354,10,969014866
Armenia,2021-10,363305,122400,11,805830936
Armenia,2021-11,124533,41956,12,582593278
Aruba,2021-03,2556,23844,4,340529467
Aruba,2021-04,49393,460774,5,533501731
Aruba,2021-05,39008,363898,6,792994644
Aruba,2021-06,12931,120630,7,1136984197
Aruba,2021-07,11136,103886,8,1060429251
Aruba,2021-08,10505,98000,9,1201442306
Aruba,2021-09,8360,77989,10,969014866
Aruba,2021-10,3437,32063,11,805830936
Aruba,2021-11,1623,15140,12,582593278
Australia,2021-02,33876,1315,3,170467452
Australia,2021-03,556918,21598,4,340529467
Australia,2021-04,1478905,57347,5,533501731
Australia,2021-05,2044108,79263,6,792994644
Australia,2021-06,3325597,128956,7,1136984197
Australia,2021-07,4357441,168969,8,1060429251
Australia,2021-08,7076785,274420,9,1201442306
Australia,2021-09,8272203,320774,10,969014866
Australia,2021-10,7985714,309666,11,805830936
Australia,2021-11,2967494,115071,12,582593278
Austria,2020-12,5397,597,1,8698776
Austria,2021-01,240178,26559,2,93138028
Austria,2021-02,404811,44767,3,170467452
Austria,2021-03,975784,107901,4,340529467
Austria,2021-04,1402473,155087,5,533501731
Austria,2021-05,2004675,221682,6,792994644
Austria,2021-06,2563275,283448,7,1136984197
Austria,2021-07,2030303,224514,8,1060429251
Austria,2021-08,844822,93421,9,1201442306
Austria,2021-09,424412,46932,10,969014866
Austria,2021-10,593413,65622,11,805830936
Austria,2021-11,1080312,119460,12,582593278
Azerbaijan,2021-01,45500,4452,2,93138028
Azerbaijan,2021-02,217899,21311,3,170467452
Azerbaijan,2021-03,379664,37143,4,340529467
Azerbaijan,2021-04,811774,79405,5,533501731
Azerbaijan,2021-05,707417,69198,6,792994644
Azerbaijan,2021-06,1174588,114892,7,1136984197
Azerbaijan,2021-07,1405884,137513,8,1060429251
Azerbaijan,2021-08,1841591,180135,9,1201442306
Azerbaijan,2021-09,1808388,176888,10,969014866
Azerbaijan,2021-10,1137573,111272,11,805830936
Azerbaijan,2021-11,648885,63472,12,582593278
Bahamas,2021-03,7038,17731,4,340529467
Bahamas,2021-04,19378,48821,5,533501731
Bahamas,2021-05,28655,72196,6,792994644
Bahamas,2021-06,36899,92964,7,1136984197
Bahamas,2021-07,12860,32400,8,1060429251
Bahamas,2021-08,41652,104938,9,1201442306
Bahamas,2021-09,48429,122013,10,969014866
Bahamas,2021-10,58944,148506,11,805830936
Bahamas,2021-11,18807,47382,12,582593278
Bahrain,2020-12,34657,19824,1,8698776
Bahrain,2021-01,166495,95232,2,93138028
Bahrain,2021-02,215936,123508,3,170467452
Bahrain,2021-03,299172,171123,4,340529467
Bahrain,2021-04,467272,267271,5,533501731
Bahrain,2021-05,469479,268535,6,792994644
Bahrain,2021-06,383950,219613,7,1136984197
Bahrain,2021-07,231478,132398,8,1060429251
